"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"XXII","22nd Century Group, Inc","2.02","250754895.74","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.58","1154759173.92","n/a","1986","n/a","n/a","https://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","6.0103","136688201.9578","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","9.15","85622863.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ch",
"ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","14.695","139379327.035","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abe",
"FCO","Aberdeen Global Income Fund, Inc.","8.56","74684193.84","n/a","1992","n/a","n/a","https://www.nasdaq.com/symbol/fco",
"IF","Aberdeen Indonesia Fund, Inc.","7.13","66003871.65","n/a","1990","n/a","n/a","https://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","18.68","73701342.24","n/a","1992","n/a","n/a","https://www.nasdaq.com/symbol/isl",
"ACU","Acme United Corporation.","21.4","72204905.4","n/a","1988","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acu",
"ATNM","Actinium Pharmaceuticals, Inc.","0.347","38238935.02","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","44.9","189370060.4","n/a","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ae",
"ACY","AeroCentury Corp.","15.85","22454679.15","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/acy",
"UAVS","AgEagle Aerial Systems, Inc.","2.36","23331679.8","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/uavs",
"AIRI","Air Industries Group","1.52","38324983.6","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/airi",
"AXU","Alexco Resource Corp","1.53","155513410.56","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/axu",
"ALO","Alio Gold Inc.","1.95","87123466.95","n/a","2011","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/alo",
"AAU","Almaden Minerals, Ltd.","0.81","82781696.25","n/a","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","3.35","47874002.45","n/a","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/apt",
